Date,Total
2025-01-19,3850
2025-01-18,3818
2025-01-17,3786
2025-01-16,3740
2025-01-15,3697
2025-01-14,3646
2025-01-13,3611
2025-01-12,3543
2025-01-11,3471
2025-01-10,3413
2025-01-09,3352
2025-01-08,3234
2025-01-07,3059
2025-01-06,2922
2025-01-05,2807
2025-01-04,2674
2025-01-03,2612
2025-01-02,2572
2025-01-01,2542
2024-12-31,2521
2024-12-30,2503
2024-12-29,2481
2024-12-28,2450
2024-12-27,2435
2024-12-26,2426
2024-12-25,2422
2024-12-24,2418
2024-12-23,2413
2024-12-22,2410
2024-12-21,2401
2024-12-20,2397
2024-12-19,2397
2024-12-18,2391
2024-12-17,2384
2024-12-16,2382
2024-12-15,2374
2024-12-14,2365
2024-12-13,2362
2024-12-12,2356
2024-12-11,2347
2024-12-10,2341
2024-12-09,2335
2024-12-08,2333
2024-12-07,2328
2024-12-06,2325
2024-12-05,2321
2024-12-04,2315
2024-12-03,2310
2024-12-02,2303
2024-12-01,2295
2024-11-30,2279
2024-11-29,2269
2024-11-28,2262
2024-11-27,2260
2024-11-26,2251
2024-11-25,2242
2024-11-24,2232
2024-11-23,2226
2024-11-22,2212
2024-11-21,2203
2024-11-20,2194
2024-11-19,2184
2024-11-18,2176
2024-11-17,2168
2024-11-16,2161
2024-11-15,2146
2024-11-14,2142
2024-11-13,2135
2024-11-12,2125
2024-11-11,2117
2024-11-10,2115
2024-11-09,2104
2024-11-08,2099
2024-11-07,2089
2024-11-06,2082
2024-11-05,2077
2024-11-04,2072
2024-11-03,2066
2024-11-02,2056
2024-11-01,2048
2024-10-31,2042
2024-10-30,2037
2024-10-29,2029
2024-10-28,2025
2024-10-27,2009
2024-10-26,2004
2024-10-25,1997
2024-10-24,1994
2024-10-23,1988
2024-10-22,1981
2024-10-21,1975
2024-10-20,1970
2024-10-19,1960
2024-10-18,1955
2024-10-17,1943
2024-10-16,1938
2024-10-15,1932
2024-10-14,1929
2024-10-13,1924
2024-10-12,1917
2024-10-11,1910
2024-10-10,1902
2024-10-09,1895
2024-10-08,1890
2024-10-07,1880
2024-10-06,1874
2024-10-05,1865
2024-10-04,1858
2024-10-03,1852
2024-10-02,1848
2024-10-01,1839
2024-09-30,1833
2024-09-29,1827
2024-09-28,1817
2024-09-27,1809
2024-09-26,1804
2024-09-25,1793
2024-09-24,1785
2024-09-23,1778
2024-09-22,1760
2024-09-21,1746
2024-09-20,1737
2024-09-19,1729
2024-09-18,1720
2024-09-17,1714
2024-09-16,1708
2024-09-15,1698
2024-09-14,1688
2024-09-13,1680
2024-09-12,1673
2024-09-11,1666
2024-09-10,1657
2024-09-09,1643
2024-09-08,1624
2024-09-07,1604
2024-09-06,1593
2024-09-05,1584
2024-09-04,1572
2024-09-03,1559
2024-09-02,1543
2024-09-01,1523
2024-08-31,1503
2024-08-30,1486
2024-08-29,1474
2024-08-28,1461
2024-08-27,1451
2024-08-26,1437
2024-08-25,1416
2024-08-24,1384
2024-08-23,1370
2024-08-22,1351
2024-08-21,1334
2024-08-20,1326
2024-08-19,1319
2024-08-18,1309
2024-08-17,1293
2024-08-16,1290
2024-08-15,1276
2024-08-14,1264
2024-08-12,1248
2024-08-11,1239
2024-08-10,1226
2024-08-09,1220
2024-08-08,1214
2024-08-07,1207
2024-08-06,1204
2024-08-05,1195
2024-08-04,1187
2024-08-03,1180
2024-08-02,1173
2024-08-01,1170
2024-07-31,1167
2024-07-30,1161
2024-07-29,1156
2024-07-28,1151
2024-07-27,1143
2024-07-26,1132
2024-07-25,1129
2024-07-24,1126
2024-07-23,1122
2024-07-22,1117
2024-07-21,1104
2024-07-20,1101
2024-07-19,1090
2024-07-18,1086
2024-07-17,1074
2024-07-16,1068
2024-07-15,1063
2024-07-14,1050
2024-07-13,1040
2024-07-12,1034
2024-07-11,1024
2024-07-10,1022
2024-07-09,1009
2024-07-08,994
2024-07-07,975
2024-07-06,948
2024-07-05,936
2024-07-04,930
2024-07-03,918
2024-07-02,895
2024-07-01,876
2024-06-30,865
