Date,Total,eft-where-am-i-2.3.2-win-sc-full.nupkg,eft-where-am-i-win-sc-Portable.zip,RELEASES,releases.win-sc.json
2026-07-08,30566,412,2193,84,27877
2026-07-07,30088,411,2190,83,27404
2026-07-06,29550,410,2175,83,26882
2026-07-05,28872,407,2157,83,26225
2026-07-04,28078,405,2139,82,25452
2026-07-03,27692,404,2131,81,25076
2026-07-02,27210,401,2114,81,24614
2026-06-30,26180,396,2076,81,23627
2026-06-29,25634,390,2036,79,23129
2026-06-28,25005,385,1995,79,22546
2026-06-27,24298,376,1945,76,21901
2026-06-26,23714,371,1903,75,21365
2026-06-25,23199,369,1880,75,20875
2026-06-24,22711,364,1860,74,20413
2026-06-23,22157,356,1822,72,19907
2026-06-22,21628,348,1794,71,19415
2026-06-21,21040,340,1756,68,18876
2026-06-20,20299,328,1696,65,18210
2026-06-19,19537,314,1632,65,17526
2026-06-18,18922,305,1593,65,16959
2026-06-17,18471,304,1574,64,16529
2026-06-16,18008,299,1544,63,16102
2026-06-15,17512,293,1516,63,15640
2026-06-14,16986,288,1488,62,15148
2026-06-13,16393,284,1455,61,14593
2026-06-12,15879,278,1430,61,14110
2026-06-11,15388,275,1390,59,13664
2026-06-10,14914,270,1359,58,13227
2026-06-09,14414,262,1321,55,12776
2026-06-08,13925,256,1286,54,12329
2026-06-07,13390,251,1251,52,11836
2026-06-06,12850,244,1208,52,11346
2026-06-05,12392,240,1178,51,10923
2026-06-04,11945,235,1145,50,10515
2026-06-03,11438,231,1115,49,10043
2026-06-02,10932,227,1077,49,9579
2026-06-01,10505,221,1048,48,9188
2026-05-31,10038,218,1015,47,8758
2026-05-30,9503,203,955,44,8301
2026-05-29,9040,201,903,42,7894
2026-05-28,8642,196,864,38,7544
2026-05-27,8228,190,831,37,7170
2026-05-26,7842,182,791,36,6833
2026-05-25,7500,174,757,34,6535
2026-05-24,7157,163,729,30,6235
2026-05-23,6861,159,708,29,5965
2026-05-22,6575,155,688,29,5703
2026-05-21,6320,148,667,25,5480
2026-05-20,6069,142,645,25,5257
2026-05-19,5910,139,632,24,5115
2026-05-18,5692,135,616,21,4920
2026-05-17,5438,131,598,21,4688
2026-05-16,5204,126,584,19,4475
2026-05-15,4967,121,567,19,4260
2026-05-14,4750,118,550,19,4063
2026-05-13,4555,117,538,19,3881
2026-05-12,4349,113,518,17,3701
2026-05-11,4146,111,506,17,3512
2026-05-10,3904,107,488,17,3292
2026-05-09,3638,105,469,17,3047
2026-05-08,3455,102,459,17,2877
2026-05-07,3250,96,443,17,2694
2026-05-06,3069,90,429,17,2533
2026-05-05,2854,85,405,17,2347
2026-05-04,2647,75,378,14,2180
2026-05-03,2420,70,358,13,1979
2026-05-02,2236,68,345,12,1811
2026-05-01,2035,61,330,12,1632
2026-04-30,1817,54,302,10,1451
2026-04-29,1641,50,286,10,1295
2026-04-28,1469,46,263,10,1150
2026-04-27,1317,42,240,7,1028
2026-04-26,1123,39,218,5,861
2026-04-25,974,33,192,5,744
2026-04-24,816,26,170,5,615
2026-04-23,662,23,152,3,484
2026-04-22,531,22,132,3,374
2026-04-21,433,21,115,1,296
2026-04-20,313,17,83,0,213
Date,Total,eft-where-am-i-2.3.2-full.nupkg,eft-where-am-i-2.3.2-win-sc-full.nupkg,eft-where-am-i-win-Portable.zip,eft-where-am-i-win-sc-Portable.zip,RELEASES,releases.win-sc.json,releases.win.json
2026-04-19,171,12,55,0,104
2026-04-18,22,0,4,0,4,0,14,0
