Date,Total,eft-where-am-i-2.4.0-full.nupkg,eft-where-am-i-2.4.0-win-sc-full.nupkg,eft-where-am-i-win-Portable.zip,eft-where-am-i-win-sc-Portable.zip,RELEASES,releases.win-sc.json,releases.win.json
2026-09-13,10016,52,465,12,25,2,8400,1060
2026-09-12,9179,52,465,12,25,2,7655,968
2026-09-11,8379,50,465,12,25,2,6951,874
2026-09-10,7635,50,465,12,24,2,6294,788
2026-09-09,6717,50,465,12,23,2,5483,682
2026-09-08,5834,50,464,11,21,1,4750,537
2026-09-07,4962,50,464,11,21,1,3960,455
2026-09-06,3949,50,464,10,21,1,3063,340
2026-09-05,3044,50,464,10,21,1,2245,253
2026-09-04,2214,50,464,10,21,1,1501,167
2026-09-03,1364,44,420,9,18,1,785,87
2026-09-02,167,2,58,2,2,0,98,5
